province,sex,age_range,education,n
Quebec,Male,50-59,Undergraduate,45
Quebec,Male,60-69,Graduate+,32
Quebec,Male,60-69,Highschool,194
Quebec,Male,60-69,"NA",2
Quebec,Male,60-69,No Highschool,60
Quebec,Male,60-69,Undergraduate,43
Quebec,Male,70-79,Graduate+,22
Quebec,Male,70-79,Highschool,92
Quebec,Male,70-79,"NA",6
Quebec,Male,70-79,No Highschool,83
Quebec,Male,70-79,Undergraduate,44
Quebec,Male,80-89,Graduate+,14
Quebec,Male,80-89,Highschool,31
Quebec,Male,80-89,"NA",3
Quebec,Male,80-89,No Highschool,40
Quebec,Male,80-89,Undergraduate,11
Saskatchewan,Female,18-29,Graduate+,1
Saskatchewan,Female,18-29,Highschool,35
Saskatchewan,Female,18-29,"NA",2
Saskatchewan,Female,18-29,No Highschool,7
Saskatchewan,Female,18-29,Undergraduate,12
Saskatchewan,Female,30-39,Graduate+,7
Saskatchewan,Female,30-39,Highschool,68
Saskatchewan,Female,30-39,"NA",5
Saskatchewan,Female,30-39,No Highschool,5
Saskatchewan,Female,30-39,Undergraduate,26
Saskatchewan,Female,40-49,Graduate+,7
Saskatchewan,Female,40-49,Highschool,41
Saskatchewan,Female,40-49,Undergraduate,26
Saskatchewan,Female,50-59,Graduate+,1
Saskatchewan,Female,50-59,Highschool,56
Saskatchewan,Female,50-59,"NA",2
Saskatchewan,Female,50-59,No Highschool,9
Saskatchewan,Female,50-59,Undergraduate,7
Saskatchewan,Female,60-69,Graduate+,2
Saskatchewan,Female,60-69,Highschool,81
Saskatchewan,Female,60-69,"NA",1
Saskatchewan,Female,60-69,No Highschool,16
Saskatchewan,Female,60-69,Undergraduate,11
Saskatchewan,Female,70-79,Graduate+,5
Saskatchewan,Female,70-79,Highschool,51
Saskatchewan,Female,70-79,"NA",1
Saskatchewan,Female,70-79,No Highschool,14
Saskatchewan,Female,70-79,Undergraduate,12
Saskatchewan,Female,80-89,Graduate+,1
Saskatchewan,Female,80-89,Highschool,37
Saskatchewan,Female,80-89,"NA",3
Saskatchewan,Female,80-89,No Highschool,31
Saskatchewan,Female,80-89,Undergraduate,5
Saskatchewan,Male,18-29,Highschool,40
Saskatchewan,Male,18-29,No Highschool,8
Saskatchewan,Male,18-29,Undergraduate,3
Saskatchewan,Male,30-39,Graduate+,6
Saskatchewan,Male,30-39,Highschool,75
Saskatchewan,Male,30-39,No Highschool,1
Saskatchewan,Male,30-39,Undergraduate,33
Saskatchewan,Male,40-49,Graduate+,6
